Артикул;Наименование;Группа;Статистика;Кол-во;Цена;Питер-5;Е;%
636311;Прокладка клапанной крышки;General Motors;;2;495,83;1531,4;1348,53;171,97 
1035А583;Прокладка клапанной крышки 4В10, 4В11, 4В12;General Motors;;1;213,82;;;
12595107;Прокладка клапанной крышки Каптива 2007-2009;General Motors;;1;1 111,08;1995,95;1757,61;58,19 
5607593;Прокладка клапанной крышки, а/м АстраН(Z16XEP);General Motors;;1;221,61;;;
212303802830010;Прокладка корпуса привода спидометра;General Motors;;1;3,42;;;
212301307046000;Прокладка крышки корпуса водяного насоса;General Motors;;5;3,51;14,25;12,47;254,88 
835170;Прокладка маслянного фильтра;General Motors;;1;80,72;;;
860982;Прокладка турбокомпресора/2;General Motors;;6;23,50;;;
1606240;Прокладки блока цилиндров (компл.) Авео 2004-2008;General Motors;;1;668,43;;;
93185729;Прокладки впускного коллектора (компл.), а/м Круз;General Motors;;1;418,74;2773,05;2456,2;486,57 
96326535;Прокладки лобового стекла;General Motors;;7;11,23;6,65;5,82;-48,18 
212141007200340;Проставка;General Motors;;3;13,47;52,25;45,75;239,56 
1222451;Противотуманка здн лев Мокка;General Motors;;1;681,99;;;
1401106;Профиль решетки радиатора;General Motors;;1;558,74;;;
1322025;Профиль черн решетк нижн., Астра;General Motors;;1;684,92;;;
BUT4ACT;Пусковая кнопка (для пер. Active Park);General Motors;;3;79,90;283,1;247,89;210,26 
23183617;Пыльник амортизатора;General Motors;;1;368,61;1988,35;1750,92;375,01 
1609220;Пыльник привода;General Motors;;4;291,35;;;
1603231;Пыльник ШРУСА;General Motors;;1;253,60;1864,85;1642,17;547,55 
1603436;Пыльник шруса в сборе;General Motors;;4;239,32;1252,1;1102,58;360,71 
1603142;Пыльник ШРУСа внутренего (к-т.), а/м АстраН(Z14XEP,Z16XER);General Motors;;1;68,08;;;
1603301;Пыльник ШРУСа внутреннего (к-т.), а/м АстраН;General Motors;;2;258,33;4533,4;4037,22;1462,81 
93743420;Пыльник ШРУСа задн. внутренний Каптива 2007-2009;General Motors;;1;347,90;1004,15;879,29;152,74 
1603276;Пыльник ШРУСа наружного (к-т.), а/м АстраН(Z14XEP,Z16XER);General Motors;;1;212,08;1133,35;992,42;367,94 
PR8DJ3233серебро;Радар парковочный 8 датчиков;General Motors;;1;1 202,16;;;
13267650;Радиатор системы охлаждения;General Motors;;1;2 193,16;2960,2;2621,96;19,55 
1300299;Радиатр системы охлаждения двигателя;General Motors;;1;2 776,20;7674,1;6871,5;147,51 
128697113355784;Разъем модуля зажигания;General Motors;;1;877,86;;;
212141007180300;Рампа подвода масла в сборе;General Motors;;1;197,00;481,65;421,76;114,10 
96184231;Регулятор давления топлива;General Motors;;1;422,89;1348,05;1187,08;180,70 
212303710310000;Регулятор освещения приборов;General Motors;;1;57,53;141,55;123,94;115,43 
212302402010020;Редуктор заднего моста в сборе;General Motors;;1;1 614,24;5773,15;5155,51;219,38 
5900286;Реечный рулевой механизм АстраН/2;General Motors;;1;7 789,23;64807,1;58353,23;649,15 
95040656;Реечный рулевой механизм в сборе Авео Т300;General Motors;;1;4 876,49;19131,1;17225,91;253,24 
1845752;Резистор вентилятора отопителя 15Вт;General Motors;;1;367,23;2014;1773,51;382,94 
96650490;Резистор вентилятора салона 15 Вт;General Motors;;2;307,33;159,6;139,75;-54,53 
1808441;Резистор отопителя Астра Н;General Motors;;1;1 678,03;4938,1;4397,63;162,07 
1707038;Рейка багажного отсека;General Motors;;1;701,70;1026,95;899,25;28,15 
210803747010020;Реле 495,3747поворота;General Motors;;1;18,30;187,15;163,87;795,31 
211003747710000;Реле 528,3747 стеклоочистителя;General Motors;;1;20,45;67,45;59,06;188,86 
SCB1240;Реле SCB 1240;General Motors;;15;11,64;;;
13500112;Реле, а/м Круз;General Motors;;3;91,88;255,55;223,77;143,55 
5197280;Ремень безопасности /2;General Motors;;1;1 202,27;;;
212308217020600;Ремень безопасности передний правый;General Motors;;1;180,48;;;
93745592;Ремень ГРМ (к-т. ремень+3 ролика), а/м Каптива;General Motors;;1;1 956,07;5757,95;5141,94;162,87 
93744701;Ремень ГРМ (к-т. ремень+ролик), а/м Матиз/Спарк;General Motors;;1;430,83;1502,9;1323,44;207,19 
6606028;Ремень ГРМ с роликами 1.9 ДИЗЕЛЬ Астра Н;General Motors;;2;1 081,35;7542,05;6753,26;524,52 
636671;Ремень ГРМ с роликами, а/м Вектра С;General Motors;;1;2 079,00;;;
4803451;Ремень компрессора кондиционера, а/м Антара/Каптива;General Motors;;2;659,83;1481,05;1304,2;97,66 
4PK946;Ремень приводной;General Motors;;5;43,41;;;
4PK668;Ремень приводной;General Motors;;5;23,31;;;
1340017;Ремень приводной 130мм;General Motors;;2;216,21;;;
1934745596814098;"Ремень приводной Aveo T300 1,6; Cruze 1,6; Cruze 1,8; Orlando 1,6; Orlando1,8";General Motors;;1;60,58;;;
6PK1880;Ремень приводной генератора;General Motors;;2;127,24;;;
6PK1413;Ремень приводной генератора;General Motors;;1;106,66;;;
5636344;Ремень приводной генератора L=120, а/м Астра J;General Motors;;3;656,00;;;
1340272;Ремень приводной генератора L=180, а/м Астра GTC;General Motors;;3;225,76;1845,85;1625,44;619,97 
5PK1546;Ремень приводной генератора, а/м Астра Н;General Motors;;4;88,23;;;
5PK1355;Ремень приводной генератора, а/м Астра Н;General Motors;;2;89,73;320,15;280,34;212,42 
89019204;Ремкомплект гидроусилителя;General Motors;;1;638,33;2511,8;2224,8;248,53 
96457602;Решетка вентиляции салона, а/м Авео;General Motors;;1;21,21;50,35;44,08;107,84 
6400639;Решетка п/бампера нижняя, а/м Корса D;General Motors;;2;158,23;;;
96687076;Решетка радиатора верх., а/м Спарк М300;General Motors;;2;299,81;2236,3;1969,26;556,83 
96547248;Решетка радиатора, а/м Лачетти сед. (95015354);General Motors;;2;574,82;3803,8;3369,17;486,13 
636527;Ролик натяжителя приводного ремня, а/м Антара;General Motors;;1;2 957,95;11444,65;10304,92;248,38 
1854740;Ролик натяжителя приводного ремня, а/м Астра GTC;General Motors;;5;140,90;;;
6340532;Ролик натяжителя приводного ремня, а/м Астра Н/Зафира В;General Motors;;3;680,00;2179,3;1919,07;182,22 
1340266;Ролик натяжителя приводного ремня, а/м КорсаD(Z12XEP,Z14XEL);General Motors;;1;1 212,72;5691,45;5082,55;319,10 
5636743;Ролик натяжителя ремня ГРМ, а/м Астра J;General Motors;;3;226,40;;;
RT1508;Ролик обводной приводного ремня, а/м Вектра С (DTi);General Motors;;1;344,49;;;
93743754;Ручка багажника хромированная, а/м Авео сед.;General Motors;;2;291,67;5013,15;4464,46;1430,66 
2346635;Ручка багажной двери, Мокка;General Motors;;1;29,40;;;
96326829;Ручка внешняя пер. лев. двери, а/м Епика;General Motors;;1;162,23;589,95;516,59;218,43 
95212188;Ручка двери;General Motors;;1;119,83;487,35;426,75;256,12 
96863361;Ручка салона;General Motors;;1;69,55;308,75;270,35;288,69 
423060;Рычаг задней подвески;General Motors;;1;368,85;;;
20946158;рычаг передней подвески;General Motors;;1;2 898,49;11449,4;10309,2;255,68 
212303001031000;Рычаг поворотный левый;General Motors;;1;95,28;;;
212303001030000;Рычаг поворотный правый;General Motors;;1;90,67;;;
0167007;Рычаг регулятора высоты левого сидения;General Motors;;1;98,86;;;
96626425;Рычаг стабилизатора подвески;General Motors;32;2;570,19;1720,45;1515,01;165,70 
212305205065010;Рычаг стеклоочистителя ветрового окна;General Motors;;2;30,77;;;
MN100110;Сайлентблок MMC Airtek, Lancer (1995-2007) задн. попереч. рычага;General Motors;;4;82,68;;;
20946159;Сайлентблок задний переднего рычага, а/м CAPTIVA;General Motors;;1;831,53;1520;1338,49;60,97 
